C6	AElig
1D568	wopf
1D4CC	wscr
1D535	xfr
3BE	xi
22FB	xnis
1D569	xopf
1D4CD	xscr
FD	yacute
44F	yacy
177	ycirc
44B	ycy
A5	yen
1D536	yfr
457	yicy
1D56A	yopf
1D4CE	yscr
44E	yucy
FF	yuml
17A	zacute
17E	zcaron
437	zcy
17C	zdot
3B6	zeta
1D537	zfr
436	zhcy
21DD	zigrarr
1D56B	zopf
1D4CF	zscr
200D	zwj
200C	zwnj
